Player,Span,Mat,Bat_Inns,NO,Bat_Runs,HS,Bat_Ave,BF,Bat_SR,100,50,0,4s,6s,Bowl_Inns,Overs,Mdns,Bowl_Runs,Wkts,BBI,Bowl_Ave,Econ,Bowl_SR,4W,5W,Country,Role,Base_Price_Lakh,Auction_Price_Lakh,Auction_Team
A Kamboj,2024-2026,25,10,6,74,19*,18.5,52,142.3,0,0,1,5,4,25,81.5,0,816,31,Mar-13,26.32,9.97,15.8,0,0,India,All-rounder,30,340,Chennai Super Kings
A Madhwal,2023-2025,17,2,2,8,4*,-,14,57.14,0,0,0,0,0,17,58.4,0,590,23,05-May,25.65,10.05,15.3,1,1,India,Bowler,30,120,Rajasthan Royals
A Manohar,2022-2025,27,20,1,292,43,15.36,235,124.25,0,0,2,23,14,-,-,-,-,-,-,-,-,-,-,-,India,Batter,30,320,Sunrisers Hyderabad
A Nortje,2020-2026,49,18,11,49,23*,7,50,98,0,0,3,6,0,49,186.4,1,1696,61,Mar-33,27.8,9.08,18.3,0,0,South Africa,Bowler,200,650,Kolkata Knight Riders
A Raghuvanshi,2024-2026,35,30,4,885,82*,34.03,608,145.55,0,7,0,86,35,-,-,-,-,-,-,-,-,-,-,-,India,Wicket-keeper,30,300,Kolkata Knight Riders
A Taide,2023-2025,10,10,0,260,66,26,177,146.89,0,2,1,30,8,1,0.1,0,4,0,-,-,24,-,0,0,India,Batter,30,30,Sunrisers Hyderabad
A Zampa,2016-2025,22,5,0,15,7,3,24,62.5,0,0,1,1,0,22,77.5,0,652,31,Jun-19,21.03,8.37,15,0,1,Australia,Bowler,200,240,Sunrisers Hyderabad
AA Kulkarni,2024-2026,4,4,0,26,17,6.5,33,78.78,0,0,2,3,0,-,-,-,-,-,-,-,-,-,-,-,India,All-rounder,30,30,Lucknow Super Giants
AK Markram,2021-2026,69,66,11,1671,68*,30.38,1233,135.52,0,10,3,131,68,24,37.1,0,357,6,Feb-30,59.5,9.6,37.1,0,0,South Africa,Batter,200,200,Lucknow Super Giants
AM Ghazanfar,2026-2026,11,1,1,2,2*,-,3,66.66,0,0,0,0,0,11,38.5,0,389,15,Feb-17,25.93,10.01,15.5,0,0,Afghanistan,Bowler,75,480,Mumbai Indians
AM Rahane,2008-2026,212,197,19,5367,105*,30.15,4273,125.6,2,35,15,539,141,1,1,0,5,1,01-May,5,5,6,0,0,India,Batter,150,150,Kolkata Knight Riders
AR Sharma,2024-2026,32,26,7,564,66*,29.68,334,168.86,0,2,0,39,40,-,-,-,-,-,-,-,-,-,-,-,India,Batter,30,380,Delhi Capitals
AS Roy,2019-2026,26,14,6,78,29*,9.75,64,121.87,0,0,5,6,2,22,53.5,0,479,15,Feb-19,31.93,8.89,21.5,0,0,India,All-rounder,30,40,Kolkata Knight Riders
AS Tendulkar,2023-2026,6,2,1,18,13,18,14,128.57,0,0,0,0,1,6,16.1,0,150,4,01-Sep,37.5,9.27,24.2,0,0,India,Bowler,30,30,Mumbai Indians
AU Verma,2025-2026,24,20,5,315,74,21,196,160.71,0,1,0,18,25,-,-,-,-,-,-,-,-,-,-,-,India,Batter,30,30,Sunrisers Hyderabad
Abdul Samad,2020-2026,71,60,16,857,45,19.47,576,148.78,0,0,4,55,55,7,9.3,0,125,2,01-Sep,62.5,13.15,28.5,0,0,India,All-rounder,30,420,Lucknow Super Giants
Abhinandan Singh,2026-2026,3,-,-,-,-,-,-,-,-,-,-,-,-,3,9.4,0,122,3,Feb-30,40.66,12.62,19.3,0,0,India,Bowler,30,30,Royal Challengers Bengaluru
Akash Deep,2022-2025,14,5,2,25,17,8.33,14,178.57,0,0,2,2,2,14,46.2,1,548,10,Mar-45,54.8,11.82,27.8,0,0,India,Bowler,100,800,Lucknow Super Giants
Akash Singh,2021-2026,12,-,-,-,-,-,-,-,-,-,-,-,-,12,41.1,0,406,13,Mar-26,31.23,9.86,19,0,0,India,Bowler,30,30,Lucknow Super Giants
Anuj Rawat,2021-2024,24,21,5,318,66,19.87,267,119.1,0,1,4,26,14,-,-,-,-,-,-,-,-,-,-,-,India,Wicket-keeper,30,30,Gujarat Titans
Arshad Khan,2023-2026,27,14,7,147,58*,21,99,148.48,0,1,1,7,11,25,62.4,0,693,18,Mar-22,38.5,11.05,20.8,0,0,India,All-rounder,30,130,Gujarat Titans
Arshdeep Singh,2019-2026,96,15,9,32,10*,5.33,47,68.08,0,0,3,4,0,95,338.4,2,3111,111,May-32,28.02,9.18,18.3,2,1,India,Bowler,200,1800,Punjab Kings
Ashok Sharma,2026-2026,6,2,2,1,1*,-,4,25,0,0,0,0,0,6,21,0,228,6,Feb-32,38,10.85,21,0,0,India,Bowler,30,30,Rajasthan Royals
Ashwani Kumar,2025-2026,10,1,1,1,1*,-,6,16.66,0,0,0,0,0,10,30.3,0,334,17,Apr-24,19.64,10.95,10.7,2,0,India,Bowler,30,30,Mumbai Indians
Avesh Khan,2017-2026,83,18,14,68,19*,17,43,158.13,0,0,1,7,4,82,294.3,1,2734,93,Apr-24,29.39,9.28,19,1,0,India,Bowler,200,975,Lucknow Super Giants
Azmatullah Omarzai,2024-2026,19,11,1,151,38,15.1,101,149.5,0,0,0,11,10,18,59,0,568,15,Feb-27,37.86,9.62,23.6,0,0,Afghanistan,All-rounder,150,240,Punjab Kings
