Player,Country,Role,Auction_Team,Span,Mat,Bat_Inns,NO,Bat_Runs,HS,HS_NotOut,Bat_Ave,BF,Bat_SR,100,50,0,4s,6s,Bowl_Inns,Overs,Mdns,Bowl_Runs,Wkts,BBI,Bowl_Ave,Econ,Bowl_SR,4W,5W,Base_Price_Lakh,Auction_Price_Lakh,Auction_Price_Cr,log_Auction_Price,Price_Multiplier,Runs_per_Inns,Wkts_per_Mat,Boundary_Rate,Bowling_Contribution,Has_Batting,Has_Bowling,Is_Overseas,Low_Sample,Origin,Impact_Innings,Haul_Innings,Batting_Score,Bowling_Score,Overall_Score,Performance_Tier,Cluster_Id,Value_Cluster,Value_Gap
A Kamboj,India,All-rounder,Chennai Super Kings,2024-2026,25,10,6,74,19.0,True,18.5,52,142.3,0,0,1,5,4,25,81.5,0,816,31,Mar-13,26.32,9.97,15.8,0,0,30,340,3.4,5.828945617610208,11.333333333333334,7.4,1.24,0.173076923076923,3.26,True,True,0,0,India,0,0,-0.1660263694781857,0.2898904310063414,0.0391361907398514,Medium,2,Fair-value Mid-market,-0.738
A Madhwal,India,Bowler,Rajasthan Royals,2023-2025,17,2,2,8,4.0,True,,14,57.14,0,0,0,0,0,17,58.4,0,590,23,05-May,25.65,10.05,15.3,1,1,30,120,1.2,4.787491742782046,4.0,4.0,1.3529411764705883,0.0,3.4352941176470586,True,True,0,0,India,0,2,-0.8408021170052522,0.4456413083132368,0.2526747945154635,Medium,2,Fair-value Mid-market,0.368
A Manohar,India,Batter,Sunrisers Hyderabad,2022-2025,27,20,1,292,43.0,False,15.36,235,124.25,0,0,2,23,14,0,0.0,0,0,0,,,,,0,0,30,320,3.2,5.768320995793772,10.666666666666666,14.6,0.0,0.1574468085106383,0.0,True,False,0,0,India,0,0,-0.0281579415429455,,-0.0281579415429455,Medium,2,Fair-value Mid-market,-0.788
A Nortje,South Africa,Bowler,Kolkata Knight Riders,2020-2026,49,18,11,49,23.0,True,7.0,50,98.0,0,0,3,6,0,49,186.4,1,1696,61,Mar-33,27.8,9.08,18.3,0,0,200,650,6.5,6.476972362889683,3.25,2.7222222222222223,1.2448979591836735,0.12,3.8040816326530615,True,True,1,0,Overseas,0,0,-0.5350027986815287,0.5260810889111381,0.3669185057722381,Medium,3,High-performing but Expensive,-0.766
A Raghuvanshi,India,Wicket-keeper,Kolkata Knight Riders,2024-2026,35,30,4,885,82.0,True,34.03,608,145.55,0,7,0,86,35,0,0.0,0,0,0,,,,,0,0,30,300,3.0,5.703782474656201,10.0,29.5,0.0,0.1990131578947368,0.0,True,False,0,0,India,7,0,0.7097521882647242,,0.7097521882647242,High,3,High-performing but Expensive,0.319
A Taide,India,Batter,Sunrisers Hyderabad,2023-2025,10,10,0,260,66.0,False,26.0,177,146.89,0,2,1,30,8,1,0.1,0,4,0,,,24.0,,0,0,30,30,0.3,3.4011973816621555,1.0,26.0,0.0,0.2146892655367231,0.01,True,True,0,0,India,2,0,0.4321006479227378,-1.8112442825520545,0.2077661548752585,Medium,1,Low-cost / Low-impact,1.37
A Zampa,Australia,Bowler,Sunrisers Hyderabad,2016-2025,22,5,0,15,7.0,False,3.0,24,62.5,0,0,1,1,0,22,77.5,0,652,31,Jun-19,21.03,8.37,15.0,0,1,200,240,2.4,5.480638923341991,1.2,3.0,1.4090909090909092,0.0416666666666666,3.522727272727273,True,True,1,0,Overseas,0,1,-0.7851953794203179,0.6046579341442891,0.3961799371095981,High,2,Fair-value Mid-market,0.041
AA Kulkarni,India,All-rounder,Lucknow Super Giants,2024-2026,4,4,0,26,17.0,False,6.5,33,78.78,0,0,2,3,0,0,0.0,0,0,0,,,,,0,0,30,30,0.3,3.4011973816621555,1.0,6.5,0.0,0.0909090909090909,0.0,True,False,0,1,India,0,0,-0.5653690068239834,,-0.5653690068239834,Low,1,Low-cost / Low-impact,0.262
AK Markram,South Africa,Batter,Lucknow Super Giants,2021-2026,69,66,11,1671,68.0,True,30.38,1233,135.52,0,10,3,131,68,24,37.1,0,357,6,Feb-30,59.5,9.6,37.1,0,0,200,200,2.0,5.298317366548036,1.0,25.318181818181817,0.0869565217391304,0.1613949716139497,0.5376811594202898,True,True,1,0,Overseas,10,0,0.7544014317902695,-0.7875658357215695,0.6002047050390856,High,2,Fair-value Mid-market,0.474
AM Ghazanfar,Afghanistan,Bowler,Mumbai Indians,2026-2026,11,1,1,2,2.0,True,,3,66.66,0,0,0,0,0,11,38.5,0,389,15,Feb-17,25.93,10.01,15.5,0,0,75,480,4.8,6.173786103901937,6.4,2.0,1.3636363636363635,0.0,3.5,True,True,1,0,Overseas,0,0,-0.8529911003024462,0.2550941213755096,0.0888813381238162,Medium,3,High-performing but Expensive,-0.932
AM Rahane,India,Batter,Kolkata Knight Riders,2008-2026,212,197,19,5367,105.0,True,30.15,4273,125.6,2,35,15,539,141,1,1.0,0,5,1,01-May,5.0,5.0,6.0,0,0,150,150,1.5,5.010635294096256,1.0,27.243654822335024,0.0047169811320754,0.1591387783758483,0.0047169811320754,True,True,0,0,India,37,0,2.0254635834620425,-0.0474609251051573,1.8181711326053225,High,0,Undervalued / High-value,2.44
AR Sharma,India,Batter,Delhi Capitals,2024-2026,32,26,7,564,66.0,True,29.68,334,168.86,0,2,0,39,40,0,0.0,0,0,0,,,,,0,0,30,380,3.8,5.940171252720432,12.666666666666666,21.692307692307693,0.0,0.2365269461077844,0.0,True,False,0,0,India,2,0,0.5230732604616741,,0.5230732604616741,High,3,High-performing but Expensive,-0.13
AS Roy,India,All-rounder,Kolkata Knight Riders,2019-2026,26,14,6,78,29.0,True,9.75,64,121.87,0,0,5,6,2,22,53.5,0,479,15,Feb-19,31.93,8.89,21.5,0,0,30,40,0.4,3.688879454113936,1.3333333333333333,5.571428571428571,0.5769230769230769,0.125,2.0576923076923075,True,True,0,0,India,0,0,-0.3563336225077826,-0.1552637283531917,-0.2658521701382167,Low,1,Low-cost / Low-impact,0.47
AS Tendulkar,India,Bowler,Mumbai Indians,2023-2026,6,2,1,18,13.0,False,18.0,14,128.57,0,0,0,0,1,6,16.1,0,150,4,01-Sep,37.5,9.27,24.2,0,0,30,30,0.3,3.4011973816621555,1.0,9.0,0.6666666666666666,0.0714285714285714,2.6833333333333336,True,True,0,1,India,0,0,-0.3347168155829155,-0.2552881734996906,-0.2672024698121743,Low,1,Low-cost / Low-impact,0.689
AU Verma,India,Batter,Sunrisers Hyderabad,2025-2026,24,20,5,315,74.0,False,21.0,196,160.71,0,1,0,18,25,0,0.0,0,0,0,,,,,0,0,30,30,0.3,3.4011973816621555,1.0,15.75,0.0,0.2193877551020408,0.0,True,False,0,0,India,1,0,0.2470549785840862,,0.2470549785840862,Medium,1,Low-cost / Low-impact,1.426
Abdul Samad,India,All-rounder,Lucknow Super Giants,2020-2026,71,60,16,857,45.0,False,19.47,576,148.78,0,0,4,55,55,7,9.3,0,125,2,01-Sep,62.5,13.15,28.5,0,0,30,420,4.2,6.040254711277414,14.0,14.283333333333331,0.028169014084507,0.1909722222222222,0.1309859154929577,True,True,0,0,India,0,0,0.2531498660912268,-1.0963446658522171,-0.354122673283323,Low,2,Fair-value Mid-market,-1.464
Abhinandan Singh,India,Bowler,Royal Challengers Bengaluru,2026-2026,3,0,0,0,,False,,0,,0,0,0,0,0,3,9.4,0,122,3,Feb-30,40.66,12.62,19.3,0,0,30,30,0.3,3.4011973816621555,1.0,,1.0,,3.1333333333333333,False,True,0,1,India,0,0,,-0.3233093245713108,-0.3233093245713108,Low,1,Low-cost / Low-impact,0.609
