Auction_Name,Statsguru_Name,Match_Type,Confidence
Arshdeep Singh †,Arshdeep Singh,exact,high
KL Rahul,KL Rahul,exact,high
Mohammed Shami,Mohammed Shami,exact,high
Mohammed Siraj,Mohammed Siraj,exact,high
Rahmanullah Gurbaz,Rahmanullah Gurbaz,exact,high
Ishan Kishan,Ishan Kishan,exact,high
Avesh Khan,Avesh Khan,exact,high
Noor Ahmad,Noor Ahmad,exact,high
Harpreet Brar,Harpreet Brar,exact,high
Naman Dhir †,Naman Dhir,exact,high
Sameer Rizvi,Sameer Rizvi,exact,high
Abdul Samad,Abdul Samad,exact,high
Anuj Rawat,Anuj Rawat,exact,high
Vishnu Vinod,Vishnu Vinod,exact,high
Simarjeet Singh,Simarjeet Singh,exact,high
Yash Thakur,Yash Thakur,exact,high
Suyash Sharma,Suyash Sharma,exact,high
Washington Sundar,Washington Sundar,exact,high
Akash Deep,Akash Deep,exact,high
Mukesh Kumar †,Mukesh Kumar,exact,high
Himmat Singh,Himmat Singh,exact,high
Arshad Khan,Arshad Khan,exact,high
Swapnil Singh †,Swapnil Singh,exact,high
Gurnoor Brar,Gurnoor Brar,exact,high
Mukesh Choudhary,Mukesh Choudhary,exact,high
Zeeshan Ansari,Zeeshan Ansari,exact,high
Shahbaz Ahmed,Shahbaz Ahmed,exact,high
Azmatullah Omarzai,Azmatullah Omarzai,exact,high
Umran Malik,Umran Malik,exact,high
Sachin Baby,Sachin Baby,exact,high
Yudhvir Singh,Yudhvir Singh,exact,high
Ashwani Kumar,Ashwani Kumar,exact,high
Akash Singh,Akash Singh,exact,high
Gurjapneet Singh,Gurjapneet Singh,exact,high
Fazalhaq Farooqi,Fazalhaq Farooqi,exact,high
Mohit Rathee,Mohit Rathee,exact,high
Musheer Khan,Musheer Khan,exact,high
Suryansh Shedge,Suryansh Shedge,exact,high
Prince Yadav,Prince Yadav,exact,high
Abhinandan Singh,Abhinandan Singh,exact,high
Karim Janat,Karim Janat,exact,high
Ashok Sharma,Ashok Sharma,exact,high
Jos Buttler,JC Buttler,initial,high
Shreyas Iyer,SS Iyer,initial,high
Rishabh Pant,RR Pant,initial,high
Kagiso Rabada,K Rabada,initial,high
Mitchell Starc,MA Starc,initial,high
Yuzvendra Chahal,YS Chahal,initial,high
Liam Livingstone,LS Livingstone,initial,high
David Miller,DA Miller,initial,high
Harry Brook,HC Brook,initial,high
Devon Conway,DP Conway,initial,high
Jake Fraser-McGurk †,J Fraser-McGurk,initial,high
Aiden Markram,AK Markram,initial,high
Devdutt Padikkal,D Padikkal,initial,high
Rahul Tripathi,RA Tripathi,initial,high
Ravichandran Ashwin,R Ashwin,initial,high
Venkatesh Iyer,VR Iyer,initial,high
Mitchell Marsh,MR Marsh,initial,high
Glenn Maxwell,GJ Maxwell,initial,high
Harshal Patel,HV Patel,initial,high
Rachin Ravindra †,R Ravindra,initial,high
Marcus Stoinis,MP Stoinis,initial,high
Quinton de Kock,Q de Kock,initial,high
Phil Salt,PD Salt,initial,high
Khaleel Ahmed,KK Ahmed,initial,high
Jofra Archer,JC Archer,initial,high
Trent Boult,TA Boult,initial,high
Josh Hazlewood,JR Hazlewood,initial,high
T. Natarajan,T Natarajan,initial,high
Anrich Nortje,A Nortje,initial,high
Rahul Chahar,RD Chahar,initial,high
Maheesh Theekshana,M Theekshana,initial,high
Adam Zampa,A Zampa,initial,high
Abhinav Manohar,A Manohar,initial,high
Karun Nair,KK Nair,initial,high
Angkrish Raghuvanshi,A Raghuvanshi,initial,high
