No.,Name,Country,Role,No. of IPL matches,Category,Base price ( ₹ lakhs ),2025 IPL team,Auctioned price ( ₹ lakhs ),2024 IPL team,Auction_Set
1,Jos Buttler,England,Wicket-keeper,107,Capped,200,Gujarat Titans,1575,Rajasthan Royals,
2,Shreyas Iyer,India,Batter,116,Capped,200,Punjab Kings,2675,Kolkata Knight Riders,
3,Rishabh Pant,India,Batter,111,Capped,200,Lucknow Super Giants,2700,Delhi Capitals,
4,Kagiso Rabada,South Africa,Bowler,80,Capped,200,Gujarat Titans,1075,Punjab Kings,
5,Arshdeep Singh †,India,Bowler,65,Capped,200,Punjab Kings,1800,Punjab Kings,
6,Mitchell Starc,Australia,Bowler,41,Capped,200,Delhi Capitals,1175,Kolkata Knight Riders,
7,Yuzvendra Chahal,India,Bowler,160,Capped,200,Punjab Kings,1800,Rajasthan Royals,
8,Liam Livingstone,England,All-rounder,39,Capped,200,Royal Challengers Bengaluru,875,Punjab Kings,
9,David Miller,South Africa,Batter,130,Capped,150,Lucknow Super Giants,750,Gujarat Titans,
10,KL Rahul,India,Wicket-keeper,132,Capped,200,Delhi Capitals,1400,Lucknow Super Giants,
11,Mohammed Shami,India,Bowler,110,Capped,200,Sunrisers Hyderabad,1000,Gujarat Titans,
12,Mohammed Siraj,India,Bowler,93,Capped,200,Gujarat Titans,1225,Royal Challengers Bengaluru,
13,Harry Brook,England,,11,,200,Delhi Capitals,625,Delhi Capitals,
14,Devon Conway,New Zealand,,23,,200,Chennai Super Kings,625,Chennai Super Kings,
15,Jake Fraser-McGurk †,Australia,,9,,200,Delhi Capitals,900,Delhi Capitals,
16,Aiden Markram,South Africa,,44,,200,Lucknow Super Giants,200,Sunrisers Hyderabad,
17,Devdutt Padikkal,India,,64,,200,Royal Challengers Bengaluru,200,Lucknow Super Giants,
18,Rahul Tripathi,India,,95,,75,Chennai Super Kings,340,Sunrisers Hyderabad,
20,Ravichandran Ashwin,India,,212,,200,Chennai Super Kings,975,Rajasthan Royals,
21,Venkatesh Iyer,India,,51,,200,Kolkata Knight Riders,2375,Kolkata Knight Riders,
22,Mitchell Marsh,Australia,,42,,200,Lucknow Super Giants,340,Delhi Capitals,
23,Glenn Maxwell,Australia,,134,,200,Punjab Kings,420,Royal Challengers Bengaluru,
24,Harshal Patel,India,,106,,200,Sunrisers Hyderabad,800,Punjab Kings,
25,Rachin Ravindra †,New Zealand,,10,,150,Chennai Super Kings,400,Chennai Super Kings,
26,Marcus Stoinis,Australia,,96,,200,Punjab Kings,1100,Lucknow Super Giants,
28,Quinton de Kock,South Africa,,107,,200,Kolkata Knight Riders,360,Lucknow Super Giants,
29,Rahmanullah Gurbaz,Afghanistan,,14,,200,Kolkata Knight Riders,200,Kolkata Knight Riders,
30,Ishan Kishan,India,,104,,200,Sunrisers Hyderabad,1125,Mumbai Indians,
31,Phil Salt,England,,21,,200,Royal Challengers Bengaluru,1150,Kolkata Knight Riders,
