Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
V Kohli,2008-2026,283,275,44,9336,113*,40.41,6926,134.79,9,68,12,844,316,
RG Sharma,2008-2026,281,276,31,7329,109*,29.91,5514,132.91,2,49,19,661,323,
S Dhawan,2008-2024,222,221,29,6769,106*,35.25,5324,127.14,2,51,11,768,152,
DA Warner,2009-2024,184,184,22,6565,126,40.52,4697,139.77,4,62,11,663,236,
KL Rahul,2013-2026,159,150,24,5815,152*,46.15,4179,139.14,6,45,5,508,239,
SK Raina,2008-2021,205,200,30,5528,100*,32.51,4043,136.73,1,39,8,506,203,
MS Dhoni,2008-2025,278,242,100,5439,84*,38.3,3957,137.45,0,24,6,375,264,
AM Rahane,2008-2026,212,197,19,5367,105*,30.15,4273,125.6,2,35,15,539,141,
SV Samson,2013-2026,191,186,23,5181,119,31.78,3671,141.13,5,27,12,432,243,
AB de Villiers,2008-2021,184,170,40,5162,133*,39.7,3403,151.68,3,40,10,413,251,
CH Gayle,2009-2021,142,141,16,4965,175*,39.72,3333,148.96,6,31,8,404,357,
RV Uthappa,2008-2022,205,197,17,4952,88,27.51,3799,130.35,0,27,8,481,182,
KD Karthik,2008-2024,257,234,50,4842,97*,26.31,3577,135.36,0,22,18,466,161,
F du Plessis,2012-2025,154,147,11,4773,96,35.09,3515,135.78,0,39,7,439,174,
JC Buttler,2016-2026,138,136,19,4646,124,39.7,3103,149.72,7,28,8,458,211,
Shubman Gill,2018-2026,134,131,17,4598,129,40.33,3236,142.08,5,32,4,446,152,
SA Yadav,2012-2026,179,164,28,4581,103*,33.68,3083,148.58,2,31,12,482,178,
AT Rayudu,2010-2023,204,187,33,4348,100*,28.23,3409,127.54,1,22,14,359,173,
SS Iyer,2015-2026,147,145,27,4229,101*,35.83,3093,136.72,1,32,7,353,182,
G Gambhir,2008-2018,154,152,16,4217,93,31,3404,123.88,0,36,12,492,59,
MK Pandey,2008-2026,180,164,28,4012,114*,29.5,3293,121.83,1,22,14,348,117,
SR Watson,2008-2020,145,141,16,3874,117*,30.99,2809,137.91,4,21,7,375,190,
RR Pant,2016-2026,139,136,21,3865,128*,33.6,2633,146.79,2,20,7,349,181,
Ishan Kishan,2016-2026,134,127,9,3600,106*,30.5,2508,143.54,1,23,11,348,166,
RA Jadeja,2008-2026,268,209,88,3526,77*,29.14,2699,130.64,0,5,9,264,122,
Q de Kock,2013-2026,118,118,8,3441,140*,31.28,2550,134.94,3,24,4,334,143,
KA Pollard,2010-2022,189,171,52,3412,87*,28.67,2316,147.32,0,16,5,218,223,
DA Miller,2012-2026,152,145,53,3288,101*,35.73,2357,139.49,1,14,5,235,152,
YK Pathan,2008-2019,174,154,44,3204,100,29.12,2241,142.97,1,13,9,262,158,
N Rana,2016-2026,127,121,10,3078,91,27.72,2235,137.71,0,22,8,288,151,
HH Pandya,2015-2026,162,150,44,2955,91,27.87,2020,146.28,0,10,6,228,155,
WP Saha,2008-2024,170,145,24,2934,115*,24.24,2300,127.56,1,13,7,296,87,
BB McCullum,2008-2018,109,109,5,2880,158*,27.69,2186,131.74,2,13,6,293,130,
PA Patel,2008-2019,139,137,11,2848,81,22.6,2358,120.78,0,13,13,365,49,
RD Gaikwad,2020-2026,85,84,10,2839,108*,38.36,2093,135.64,2,22,7,260,107,
GJ Maxwell,2012-2025,141,135,17,2819,95,23.88,1817,155.14,0,18,19,237,161,
MA Agarwal,2011-2025,131,125,5,2756,106,22.96,2064,133.52,1,13,7,273,100,
Yuvraj Singh,2008-2019,132,126,15,2750,83,24.77,2120,129.71,0,13,4,217,149,
V Sehwag,2008-2015,104,104,5,2728,122,27.55,1755,155.44,2,16,7,334,106,
AD Russell,2012-2025,140,115,21,2651,88*,28.2,1522,174.17,0,12,6,186,223,
M Vijay,2009-2020,106,106,5,2619,127,25.93,2149,121.87,2,13,5,247,91,
YBK Jaiswal,2020-2026,83,82,5,2593,124,33.67,1697,152.79,2,18,4,310,110,
N Pooran,2019-2026,104,101,21,2527,87*,31.58,1540,164.09,0,15,9,168,186,
B Sai Sudharsan,2022-2026,57,57,5,2515,108*,48.36,1686,149.16,3,20,1,258,82,
SPD Smith,2012-2021,103,93,21,2485,101,34.51,1940,128.09,1,11,1,225,60,
SE Marsh,2008-2017,71,69,7,2477,115,39.95,1866,132.74,1,20,1,266,78,
JH Kallis,2008-2014,98,96,11,2427,89*,28.55,2222,109.22,0,17,9,255,44,
DR Smith,2008-2017,91,89,5,2385,87*,28.39,1764,135.2,0,17,8,245,117,
Abhishek Sharma,2018-2026,92,89,8,2379,141,29.37,1389,171.27,2,13,6,224,144,
SR Tendulkar,2008-2013,78,78,11,2334,100*,34.83,1948,119.81,1,13,4,295,29,
RA Tripathi,2017-2025,100,98,11,2291,93,26.33,1662,137.84,0,12,4,229,85,
D Padikkal,2020-2026,90,89,4,2270,101*,26.7,1705,133.13,1,14,6,239,80,
MP Stoinis,2016-2026,122,108,30,2242,124*,28.74,1520,147.5,1,10,10,181,117,
R Dravid,2008-2013,89,82,5,2174,75*,28.23,1882,115.51,0,11,3,268,28,
S Dube,2019-2026,92,87,19,2129,95*,31.3,1464,145.42,0,10,3,132,137,
KS Williamson,2015-2024,79,77,17,2128,89,35.46,1694,125.61,0,18,2,185,64,
H Klaasen,2018-2026,64,60,10,2104,105*,42.08,1262,166.71,2,13,1,146,120,
AJ Finch,2010-2022,92,90,7,2091,88*,25.19,1631,128.2,0,15,8,214,78,
AR Patel,2014-2026,176,135,39,2089,66,21.76,1562,133.73,0,4,9,146,100,
AC Gilchrist,2008-2013,80,80,4,2069,109*,27.22,1495,138.39,2,11,7,239,92,
JP Duminy,2009-2018,83,77,26,2029,78*,39.78,1636,124.02,0,14,1,126,79,
KH Pandya,2016-2026,158,127,42,1982,86,23.31,1481,133.82,0,3,7,173,76,
MEK Hussey,2008-2015,59,58,7,1977,116*,38.76,1612,122.64,1,15,1,198,52,
PP Shaw,2018-2024,79,79,0,1892,99,23.94,1283,147.46,0,14,7,238,61,
