Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
V Kohli,2008-2026,283,26,41.5,0,368,4,2/25,92,8.79,62.7,0,0,
RG Sharma,2008-2026,281,32,56.3,0,453,15,4/6,30.2,8.01,22.6,1,0,
MS Dhoni,2008-2025,278,-,-,-,-,-,-,-,-,-,-,-,
RA Jadeja,2008-2026,268,237,709.0,2,5465,180,5/16,30.36,7.7,23.6,3,1,
KD Karthik,2008-2024,257,-,-,-,-,-,-,-,-,-,-,-,
S Dhawan,2008-2024,222,6,8.0,0,66,4,1/7,16.5,8.25,12,0,0,
R Ashwin,2009-2025,221,217,785.0,4,5652,187,4/34,30.22,7.2,25.1,1,0,
AM Rahane,2008-2026,212,1,1.0,0,5,1,1/5,5,5,6,0,0,
B Kumar,2011-2026,206,206,766.4,14,5913,226,5/19,26.16,7.71,20.3,3,2,
SK Raina,2008-2021,205,69,151.2,0,1118,25,2/0,44.72,7.38,36.3,0,0,
RV Uthappa,2008-2022,205,-,-,-,-,-,-,-,-,-,-,-,
AT Rayudu,2010-2023,204,-,-,-,-,-,-,-,-,-,-,-,
SP Narine,2012-2026,202,200,775.1,3,5261,207,5/19,25.41,6.78,22.4,7,1,
PP Chawla,2008-2024,192,191,641.4,2,5108,192,4/17,26.6,7.96,20,2,0,
SV Samson,2013-2026,191,-,-,-,-,-,-,-,-,-,-,-,
KA Pollard,2010-2022,189,107,248.0,0,2180,69,4/44,31.59,8.79,21.5,1,0,
YS Chahal,2013-2026,188,184,672.5,4,5417,233,5/40,23.24,8.05,17.3,8,1,
DA Warner,2009-2024,184,1,0.1,0,2,0,-,-,12,-,0,0,
AB de Villiers,2008-2021,184,-,-,-,-,-,-,-,-,-,-,-,
MK Pandey,2008-2026,180,-,-,-,-,-,-,-,-,-,-,-,
SA Yadav,2012-2026,179,1,1.0,0,8,0,-,-,8,-,0,0,
AR Patel,2014-2026,176,172,594.3,2,4406,139,4/21,31.69,7.41,25.6,1,0,
YK Pathan,2008-2019,174,82,191.1,1,1415,42,3/20,33.69,7.4,27.3,0,0,
WP Saha,2008-2024,170,-,-,-,-,-,-,-,-,-,-,-,
Harbhajan Singh,2008-2021,163,160,569.2,6,4030,150,5/18,26.86,7.07,22.7,1,1,
A Mishra,2008-2024,162,162,561.5,6,4145,174,5/17,23.82,7.37,19.3,4,1,
HH Pandya,2015-2026,162,116,294.0,0,2751,82,5/36,33.54,9.35,21.5,0,1,
DJ Bravo,2008-2022,161,158,519.5,3,4360,183,4/22,23.82,8.38,17,2,0,
KL Rahul,2013-2026,159,-,-,-,-,-,-,-,-,-,-,-,
JJ Bumrah,2013-2026,158,158,605.1,8,4441,187,5/10,23.74,7.33,19.4,3,2,
KH Pandya,2016-2026,158,147,450.1,1,3410,107,4/45,31.86,7.57,25.2,1,0,
F du Plessis,2012-2025,154,1,1.0,0,16,0,-,-,16,-,0,0,
G Gambhir,2008-2018,154,-,-,-,-,-,-,-,-,-,-,-,
Rashid Khan,2017-2026,153,153,588.2,4,4282,179,4/24,23.92,7.27,19.7,3,0,
DA Miller,2012-2026,152,-,-,-,-,-,-,-,-,-,-,-,
UT Yadav,2010-2024,148,147,508.2,5,4317,144,4/23,29.97,8.49,21.1,3,0,
SS Iyer,2015-2026,147,1,1.0,0,7,0,-,-,7,-,0,0,
SR Watson,2008-2020,145,105,338.1,3,2682,92,4/29,29.15,7.93,22,1,0,
Sandeep Sharma,2013-2026,143,142,526.3,8,4294,151,5/18,28.43,8.15,20.9,2,1,
CH Gayle,2009-2021,142,38,92.2,0,729,18,3/21,40.5,7.89,30.7,0,0,
GJ Maxwell,2012-2025,141,85,170.2,1,1413,41,2/15,34.46,8.29,24.9,0,0,
AD Russell,2012-2025,140,121,301.0,0,2863,123,5/15,23.27,9.51,14.6,2,1,
RR Pant,2016-2026,139,-,-,-,-,-,-,-,-,-,-,-,
PA Patel,2008-2019,139,-,-,-,-,-,-,-,-,-,-,-,
JC Buttler,2016-2026,138,-,-,-,-,-,-,-,-,-,-,-,
Ishan Kishan,2016-2026,134,1,0.1,0,4,0,-,-,24,-,0,0,
Shubman Gill,2018-2026,134,-,-,-,-,-,-,-,-,-,-,-,
Mohammed Shami,2013-2026,132,132,485.2,3,4208,145,4/11,29.02,8.67,20,2,0,
Yuvraj Singh,2008-2019,132,73,144.5,0,1077,36,4/29,29.91,7.43,24.1,2,0,
MA Agarwal,2011-2025,131,-,-,-,-,-,-,-,-,-,-,-,
N Rana,2016-2026,127,27,36.0,0,325,10,2/11,32.5,9.02,21.6,0,0,
TA Boult,2015-2026,125,124,463.2,11,3935,145,4/18,27.13,8.49,19.1,2,0,
DJ Hooda,2015-2025,125,34,63.1,0,546,10,2/16,54.6,8.64,37.9,0,0,
Mohammed Siraj,2017-2026,125,125,445.2,5,3911,128,4/17,30.55,8.78,20.8,3,0,
HV Patel,2012-2026,124,121,417.4,2,3727,151,5/27,24.68,8.92,16.5,4,1,
R Tewatia,2014-2026,124,52,140.3,0,1111,32,3/18,34.71,7.9,26.3,0,0,
SL Malinga,2009-2019,122,122,471.1,8,3365,170,5/13,19.79,7.14,16.6,6,1,
MP Stoinis,2016-2026,122,75,155.5,0,1547,46,4/15,33.63,9.92,20.3,1,0,
MM Sharma,2013-2025,120,119,400.3,0,3513,134,5/10,26.21,8.77,17.9,3,1,
P Kumar,2008-2017,119,119,420.4,14,3251,90,3/18,36.12,7.72,28,0,0,
Q de Kock,2013-2026,118,-,-,-,-,-,-,-,-,-,-,-,
I Sharma,2008-2025,117,117,403.1,6,3377,96,5/12,35.17,8.37,25.1,0,1,
JD Unadkat,2010-2026,116,115,391.5,3,3504,114,5/25,30.73,8.94,20.6,0,2,
SN Thakur,2015-2026,114,109,367.0,3,3514,119,4/34,29.52,9.57,18.5,3,0,
