Player,Span,Mat,Bat_Inns,NO,Bat_Runs,HS,Bat_Ave,BF,Bat_SR,100,50,0,4s,6s,Bowl_Inns,Overs,Mdns,Bowl_Runs,Wkts,BBI,Bowl_Ave,Econ,Bowl_SR,4W,5W
A Ashish Reddy,2012-2016,31,23,8,280,36*,18.66,193,145.07,0,0,0,17,14,20,43.4,0,396,18,3/25,22,9.06,14.5,0,0
A Badoni,2022-2026,66,56,10,1178,74,25.6,836,140.9,0,7,5,96,47,8,6.5,0,63,4,2/4,15.75,9.21,10.2,0,0
A Chandila,2012-2013,12,2,2,4,4*,-,7,57.14,0,0,0,0,0,12,39.0,0,242,11,4/13,22,6.2,21.2,1,0
A Chopra,2008-2009,7,6,0,53,24,8.83,71,74.64,0,0,0,7,0,-,-,-,-,-,-,-,-,-,-,-
A Choudhary,2017-2017,5,3,2,25,15*,25,20,125,0,0,0,1,1,5,16.5,2,144,5,2/17,28.8,8.55,20.2,0,0
A Dananjaya,2018-2018,1,1,1,4,4*,-,5,80,0,0,0,0,0,1,4.0,0,47,0,-,-,11.75,-,0,0
A Flintoff,2009-2009,3,3,1,62,24,31,53,116.98,0,0,0,5,2,3,11.0,0,105,2,1/11,52.5,9.54,33,0,0
A Kamboj,2024-2026,25,10,6,74,19*,18.5,52,142.3,0,0,1,5,4,25,81.5,0,816,31,3/13,26.32,9.97,15.8,0,0
A Kumble,2008-2010,42,17,14,35,8,11.66,47,74.46,0,0,0,3,0,42,160.5,1,1058,45,5/5,23.51,6.57,21.4,2,1
A Madhwal,2023-2025,17,2,2,8,4*,-,14,57.14,0,0,0,0,0,17,58.4,0,590,23,5/5,25.65,10.05,15.3,1,1
A Manohar,2022-2025,27,20,1,292,43,15.36,235,124.25,0,0,2,23,14,-,-,-,-,-,-,-,-,-,-,-
A Mhatre,2025-2026,13,13,0,441,94,33.92,240,183.75,0,3,2,51,23,-,-,-,-,-,-,-,-,-,-,-
A Mishra,2008-2024,162,57,25,381,31,11.9,419,90.93,0,0,10,31,5,162,561.5,6,4145,174,5/17,23.82,7.37,19.3,4,1
A Mithun,2009-2013,16,8,3,34,11,6.8,26,130.76,0,0,1,4,1,16,48.0,0,472,7,2/37,67.42,9.83,41.1,0,0
A Mukund,2008-2013,3,2,0,19,19,9.5,22,86.36,0,0,1,1,0,-,-,-,-,-,-,-,-,-,-,-
A Nehra,2008-2017,88,22,15,41,22*,5.85,62,66.12,0,0,5,3,1,88,318.0,2,2495,106,4/10,23.53,7.84,18,1,0
A Nel,2008-2008,1,1,0,0,0,0,0,-,0,0,1,0,0,1,3.0,0,31,1,1/31,31,10.33,18,0,0
A Nortje,2020-2026,49,18,11,49,23*,7,50,98,0,0,3,6,0,49,186.4,1,1696,61,3/33,27.8,9.08,18.3,0,0
A Raghuvanshi,2024-2026,35,30,4,885,82*,34.03,608,145.55,0,7,0,86,35,-,-,-,-,-,-,-,-,-,-,-
A Singh,2009-2012,23,5,1,2,1*,0.5,10,20,0,0,3,0,0,23,78.5,1,620,28,4/19,22.14,7.86,16.8,1,0
A Symonds,2008-2011,39,36,9,974,117*,36.07,750,129.86,1,5,0,74,41,30,87.5,0,674,20,3/21,33.7,7.67,26.3,0,0
A Taide,2023-2025,10,10,0,260,66,26,177,146.89,0,2,1,30,8,1,0.1,0,4,0,-,-,24,-,0,0
A Tomar,2022-2022,1,1,0,4,4,4,8,50,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-
A Uniyal,2010-2010,2,2,1,4,4*,4,7,57.14,0,0,1,0,0,2,6.0,0,66,2,2/41,33,11,18,0,0
A Zampa,2016-2025,22,5,0,15,7,3,24,62.5,0,0,1,1,0,22,77.5,0,652,31,6/19,21.03,8.37,15,0,1
AA Bilakhia,2009-2010,7,7,2,69,22,13.8,85,81.17,0,0,0,5,0,-,-,-,-,-,-,-,-,-,-,-
AA Chavan,2011-2013,13,3,1,12,7*,6,11,109.09,0,0,0,2,0,13,41.2,0,326,8,2/23,40.75,7.88,31,0,0
AA Jhunjhunwala,2010-2012,21,16,3,217,53*,16.69,210,103.33,0,1,1,19,5,10,14.1,0,129,1,1/13,129,9.1,85,0,0
AA Kazi,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2.0,0,21,0,-,-,10.5,-,0,0
AA Kulkarni,2024-2026,4,4,0,26,17,6.5,33,78.78,0,0,2,3,0,-,-,-,-,-,-,-,-,-,-,-
